region,year,sex,age_gr,population
norway,2004,Female,0 to 9,291240
norway,2004,Female,10 to 19,290549
norway,2004,Female,100 and over,0
norway,2004,Female,20 to 29,280685
norway,2004,Female,30 to 39,342774
norway,2004,Female,40 to 49,315825
norway,2004,Female,50 to 59,293737
norway,2004,Female,60 to 69,196406
norway,2004,Female,70 to 79,164522
norway,2004,Female,80 to 89,117662
norway,2004,Female,90 to 99,21952
norway,2004,Female,Overall,2315352
norway,2004,Male,0 to 9,306054
norway,2004,Male,10 to 19,306517
norway,2004,Male,100 and over,0
norway,2004,Male,20 to 29,286840
norway,2004,Male,30 to 39,354695
norway,2004,Male,40 to 49,326865
norway,2004,Male,50 to 59,303803
norway,2004,Male,60 to 69,188390
norway,2004,Male,70 to 79,131842
norway,2004,Male,80 to 89,64374
norway,2004,Male,90 to 99,7183
norway,2004,Male,Overall,2276563
norway,2005,Both,0 to 9,594788
norway,2005,Both,10 to 19,607387
norway,2005,Both,100 and over,0
norway,2005,Both,20 to 29,563489
norway,2005,Both,30 to 39,694529
norway,2005,Both,40 to 49,650253
norway,2005,Both,50 to 59,601484
norway,2005,Both,60 to 69,405420
norway,2005,Both,70 to 79,291429
norway,2005,Both,80 to 89,184258
norway,2005,Both,90 to 99,30258
norway,2005,Both,Overall,4623295
norway,2005,Female,0 to 9,290272
norway,2005,Female,10 to 19,295494
norway,2005,Female,100 and over,0
norway,2005,Female,20 to 29,278770
norway,2005,Female,30 to 39,342005
norway,2005,Female,40 to 49,319179
norway,2005,Female,50 to 59,295937
norway,2005,Female,60 to 69,205923
norway,2005,Female,70 to 79,161311
norway,2005,Female,80 to 89,118559
norway,2005,Female,90 to 99,22818
norway,2005,Female,Overall,2330268
norway,2005,Male,0 to 9,304516
norway,2005,Male,10 to 19,311893
norway,2005,Male,100 and over,0
norway,2005,Male,20 to 29,284719
norway,2005,Male,30 to 39,352524
norway,2005,Male,40 to 49,331074
norway,2005,Male,50 to 59,305547
norway,2005,Male,60 to 69,199497
norway,2005,Male,70 to 79,130118
norway,2005,Male,80 to 89,65699
norway,2005,Male,90 to 99,7440
norway,2005,Male,Overall,2293027
norway,2006,Both,0 to 9,592735
norway,2006,Both,10 to 19,617359
norway,2006,Both,100 and over,0
norway,2006,Both,20 to 29,565077
norway,2006,Both,30 to 39,689674
norway,2006,Both,40 to 49,658523
norway,2006,Both,50 to 59,602786
norway,2006,Both,60 to 69,429559
norway,2006,Both,70 to 79,287948
norway,2006,Both,80 to 89,185692
norway,2006,Both,90 to 99,31328
norway,2006,Both,Overall,4660681
norway,2006,Female,0 to 9,289521
norway,2006,Female,10 to 19,300417
norway,2006,Female,100 and over,0
norway,2006,Female,20 to 29,279161
norway,2006,Female,30 to 39,339922
norway,2006,Female,40 to 49,322480
norway,2006,Female,50 to 59,296731
norway,2006,Female,60 to 69,217265
norway,2006,Female,70 to 79,158865
norway,2006,Female,80 to 89,118821
norway,2006,Female,90 to 99,23612
norway,2006,Female,Overall,2346795
norway,2006,Male,0 to 9,303214
norway,2006,Male,10 to 19,316942
